3.999761e+02,-1.743398e-01
4.000363e+02,-1.281765e-01
4.000966e+02,-7.179282e-02
4.001569e+02,-1.584708e-02
4.002171e+02,3.093329e-02
4.002774e+02,6.294364e-02
4.003377e+02,7.668635e-02
4.003979e+02,7.092815e-02
4.004582e+02,4.679679e-02
4.005185e+02,8.235255e-03
4.005787e+02,-3.821022e-02
4.006390e+02,-8.526353e-02
4.006992e+02,-1.265799e-01
4.007595e+02,-1.591909e-01
4.008198e+02,-1.833958e-01
4.008800e+02,-2.011279e-01
4.009403e+02,-2.139371e-01
4.010006e+02,-2.217093e-01
4.010609e+02,-2.224837e-01
4.011211e+02,-2.138681e-01
4.011814e+02,-1.951968e-01
4.012416e+02,-1.693264e-01
4.013019e+02,-1.417182e-01
4.013622e+02,-1.188367e-01
4.014224e+02,-1.061776e-01
4.014827e+02,-1.071682e-01
4.015430e+02,-1.230823e-01
4.016032e+02,-1.519184e-01
4.016635e+02,-1.876639e-01
4.017238e+02,-2.182606e-01
4.017840e+02,-2.288612e-01
4.018443e+02,-2.102406e-01
4.019045e+02,-1.691773e-01
4.019648e+02,-1.265797e-01
4.020251e+02,-1.047017e-01
4.020853e+02,-1.145895e-01
4.021456e+02,-1.521703e-01
4.022059e+02,-2.040736e-01
4.022661e+02,-2.536224e-01
4.023264e+02,-2.862810e-01
4.023867e+02,-2.906230e-01
4.024469e+02,-2.626076e-01
4.025072e+02,-2.066773e-01
4.025674e+02,-1.338704e-01
4.026277e+02,-5.768205e-02
4.026880e+02,9.789791e-03
4.027483e+02,5.922815e-02
4.028085e+02,8.679013e-02
4.028688e+02,9.366271e-02
4.029290e+02,8.464286e-02
4.029893e+02,6.561375e-02
4.030496e+02,4.224666e-02
4.031098e+02,1.908538e-02
4.031701e+02,-1.059526e-03
4.032304e+02,-1.665471e-02
4.032906e+02,-2.736131e-02
4.033509e+02,-3.358623e-02
4.034112e+02,-3.607984e-02
4.034714e+02,-3.564782e-02
4.035317e+02,-3.297990e-02
4.035919e+02,-2.871426e-02
4.036522e+02,-2.340953e-02
4.037125e+02,-1.761706e-02
4.037727e+02,-1.192492e-02
4.038330e+02,-6.915486e-03
4.038933e+02,-3.216574e-03
4.039536e+02,-1.548671e-03
4.040138e+02,-2.647705e-03
4.040741e+02,-7.287935e-03
4.041343e+02,-1.604843e-02
4.041946e+02,-2.908522e-02
4.042549e+02,-4.600444e-02
4.043151e+02,-6.620435e-02
4.043754e+02,-8.944625e-02
4.044357e+02,-1.162183e-01
4.044959e+02,-1.474685e-01
4.045562e+02,-1.839353e-01
4.046165e+02,-2.250273e-01
4.046767e+02,-2.679841e-01
4.047370e+02,-3.070433e-01
4.047972e+02,-3.345705e-01
4.048575e+02,-3.455530e-01
4.049178e+02,-3.414445e-01
4.049780e+02,-3.293602e-01
4.050383e+02,-3.166600e-01
4.050986e+02,-3.082948e-01
4.051588e+02,-3.060574e-01
4.052191e+02,-3.098874e-01
4.052794e+02,-3.192583e-01
4.053396e+02,-3.339707e-01
4.053999e+02,-3.543348e-01
4.054601e+02,-3.803526e-01
4.055204e+02,-4.103270e-01
4.055807e+02,-4.389842e-01
4.056410e+02,-4.559438e-01
4.057012e+02,-4.489325e-01
4.057615e+02,-4.095761e-01
4.058217e+02,-3.396590e-01
4.058820e+02,-2.500173e-01
4.059423e+02,-1.532362e-01
4.060025e+02,-5.931539e-02
4.060628e+02,2.539842e-02
4.061231e+02,9.621910e-02
4.061833e+02,1.497902e-01
4.062436e+02,1.839102e-01
4.063039e+02,1.970985e-01
4.063641e+02,1.896768e-01
4.064244e+02,1.638085e-01
4.064846e+02,1.238155e-01
4.065449e+02,7.560062e-02
4.066052e+02,2.691572e-02
4.066654e+02,-1.316718e-02
4.067257e+02,-3.690754e-02
4.067860e+02,-4.014720e-02
4.068463e+02,-2.472313e-02
4.069065e+02,2.950280e-03
4.069668e+02,3.427047e-02
4.070270e+02,6.152886e-02
4.070873e+02,7.920517e-02
4.071476e+02,8.320360e-02
4.072078e+02,7.097855e-02
4.072681e+02,4.103959e-02
4.073284e+02,-6.851010e-03
4.073886e+02,-7.175560e-02
4.074489e+02,-1.502996e-01
4.075092e+02,-2.335664e-01
4.075694e+02,-3.043135e-01
4.076297e+02,-3.356984e-01
4.076899e+02,-3.078813e-01
4.077502e+02,-2.306802e-01
4.078105e+02,-1.369493e-01
4.078707e+02,-5.511484e-02
4.079310e+02,2.245157e-03
4.079913e+02,3.310708e-02
4.080515e+02,4.098777e-02
4.081118e+02,3.047824e-02
4.081721e+02,5.537223e-03
4.082323e+02,-3.062722e-02
4.082926e+02,-7.460441e-02
4.083528e+02,-1.211575e-01
4.084131e+02,-1.631678e-01
4.084734e+02,-1.916535e-01
4.085337e+02,-1.989721e-01
4.085939e+02,-1.833330e-01
4.086542e+02,-1.502139e-01
4.087144e+02,-1.097836e-01
4.087747e+02,-7.176922e-02
4.088350e+02,-4.337700e-02
4.088952e+02,-2.743105e-02
4.089555e+02,-2.283380e-02
4.090158e+02,-2.567418e-02
4.090760e+02,-3.101268e-02
4.091363e+02,-3.453352e-02
4.091966e+02,-3.348091e-02
4.092568e+02,-2.728906e-02
4.093171e+02,-1.702037e-02
4.093773e+02,-4.430440e-03
4.094376e+02,9.354292e-03
4.094979e+02,2.450365e-02
4.095581e+02,4.238670e-02
4.096184e+02,6.396304e-02
4.096787e+02,8.860369e-02
4.097390e+02,1.139136e-01
4.097992e+02,1.370861e-01
4.098595e+02,1.558032e-01
4.099197e+02,1.687560e-01
4.099800e+02,1.754151e-01
4.100403e+02,1.755944e-01
4.101005e+02,1.693789e-01
